replicate,seed,episode_fingerprint,shared_event_time,split_method,model,event_prevalence,n_eligible,auroc,status,runtime_seconds
1,43,True,True,grouped,boosted_trees,0.4268456375838926,745,0.46476809096666816,ok,2.1962547209113836
1,43,True,True,row_wise,boosted_trees,0.4268456375838926,745,0.8099362231747013,ok,2.205427145003341
2,44,True,True,grouped,boosted_trees,0.605427974947808,479,0.509669768290458,ok,2.4098176250699908
2,44,True,True,row_wise,boosted_trees,0.605427974947808,479,0.8179529282977558,ok,2.415861519984901
3,45,True,True,grouped,boosted_trees,0.4015267175572519,655,0.553474431597734,ok,1.8636202670168132
3,45,True,True,row_wise,boosted_trees,0.4015267175572519,655,0.842438115930783,ok,1.8690446759574115
4,46,True,True,grouped,boosted_trees,0.4916387959866221,598,0.6359425349087003,ok,1.9002117009367794
4,46,True,True,row_wise,boosted_trees,0.4916387959866221,598,0.793344969566774,ok,1.9072809709468856
5,47,True,True,grouped,boosted_trees,0.3647711511789182,721,0.5573496936589902,ok,2.308655589004047
5,47,True,True,row_wise,boosted_trees,0.3647711511789182,721,0.8319109369551863,ok,2.314041159930639
6,48,True,True,grouped,boosted_trees,0.488272921108742,469,0.7869905385735081,ok,2.09913487394806
6,48,True,True,row_wise,boosted_trees,0.488272921108742,469,0.9607532751091703,ok,2.105567647027783
7,49,True,True,grouped,boosted_trees,0.7181571815718157,369,0.4369738751814224,ok,1.836988230003044
7,49,True,True,row_wise,boosted_trees,0.7181571815718157,369,0.8301523947750364,ok,1.842222895938903
8,50,True,True,grouped,boosted_trees,0.36213991769547327,729,0.5862781036168132,ok,1.6319280789466575
8,50,True,True,row_wise,boosted_trees,0.36213991769547327,729,0.8604920169436298,ok,1.6376444390043616
9,51,True,True,grouped,boosted_trees,0.4539130434782609,575,0.6669351099397223,ok,1.6443992130225524
9,51,True,True,row_wise,boosted_trees,0.4539130434782609,575,0.8284891524513753,ok,1.6506867660209537
10,52,True,True,grouped,boosted_trees,0.3851963746223565,662,0.4615888615888616,ok,2.1868037990061566
10,52,True,True,row_wise,boosted_trees,0.3851963746223565,662,0.8400154164860048,ok,2.1934379630256444
11,53,True,True,grouped,boosted_trees,0.585480093676815,427,0.3199209039548022,ok,1.7446173609932885
